1712990,Nguyễn Văn A,Công nghệ thông tin,2017,1712990@student.hcmus.edu.vn,21/05/1999,1712990.png,Tôi là một người thân thiện,"Âm nhạc: Pop và balab,Phim ảnh:Kinh dị và Ma"
1712991,Nguyễn Văn B,Công nghệ thông tin,2017,1712991@student.hcmus.edu.vn,22/05/1999,1712991.png,Tôi là một người hòa đồng,"Âm nhạc: balab,Phim ảnh:Kinh dị"
1712992,Nguyễn Văn C,Công nghệ thông tin,2017,1712992@student.hcmus.edu.vn,23/05/1999,1712992.jpg,Tôi là một người hiền lành,"Âm nhạc: Pop,Phim ảnh:hành động"
1712993,Nguyễn Văn D,Công nghệ thông tin,2017,1712993@student.hcmus.edu.vn,24/05/1999,1712993.png,Tôi là một người dễ gần,Âm nhạc: Pop và balab
1712994,Nguyễn Văn E,Công nghệ thông tin,2017,1712994@student.hcmus.edu.vn,25/05/1999,1712994.jpg,Tôi là một người thân thiện,Phim ảnh:Kinh dị và Ma
1712995,Nguyễn Văn F,Công nghệ thông tin,2017,1712995@student.hcmus.edu.vn,26/05/1999,1712995.png,Tôi là một người hiền lành,Nấu ăn
1712996,Nguyễn Văn G,Công nghệ thông tin,2017,1712996@student.hcmus.edu.vn,27/05/1999,1712996.png,Tôi là một người dễ gần,Chơi piano
1712997,Nguyễn Văn H,Công nghệ thông tin,2017,1712997@student.hcmus.edu.vn,28/05/1999,1712997.png,Tôi là một người biết nấu ăn,Xem phim
1712998,Nguyễn Văn I,Công nghệ thông tin,2017,1712998@student.hcmus.edu.vn,29/05/1999,1712998.jpg,Tôi là một người hát hay,Ngủ
1712999,Nguyễn Văn K,Công nghệ thông tin,2017,1712999@student.hcmus.edu.vn,30/05/1999,1712999.png,Tôi là một người biết tạo không kí vui vẻ,Du lịc
1713000,Nguyễn Văn T,Công nghệ thông tin,2017,1712300@student.hcmus.edu.vn,31/05/1999,1713000.jpg,Tôi là một người khiêm tốn,Cắm trại
